track_number,explicit,artist_popularity,album_total_tracks,track_duration_min,artist_followers_log,is_album,is_compilation,is_single,track_artist_ratio,dur_Short,dur_Medium,dur_Long,is_collaboration,release_month,Is_Top_50
3,0,-0.444392452,0.061111111,0.653620352,0.322399471,1,0,0,0.600603265,0,1,0,1,8,
10,1,1.082726523,0.061111111,0.71037182,0.713311297,1,0,0,1.110878078,0,0,1,0,8,
9,0,-0.444392452,0.061111111,0.487279843,0.322032429,1,0,0,-0.438795247,0,1,0,0,8,
11,0,-0.444392452,0.061111111,0.604696673,0.322399471,1,0,0,0.411621717,0,1,0,0,8,
10,0,-0.444392452,0.061111111,0.792563601,0.322032429,1,0,0,0.317130944,0,0,1,1,8,
6,0,-0.444392452,0.061111111,0.540117417,0.322032429,1,0,0,0.22264017,0,1,0,1,8,
12,0,-0.444392452,0.061111111,0.782778865,0.322200873,1,0,0,0.033658622,0,0,1,1,8,
4,0,-0.444392452,0.061111111,0.624266145,0.322200873,1,0,0,-0.155322925,0,1,0,0,8,
2,0,-0.444392452,0.061111111,0.536203523,0.322032429,1,0,0,-0.060832152,0,1,0,0,8,
7,0,-0.444392452,0.061111111,0.093933464,0.322399471,1,0,0,1.073057134,1,0,0,0,8,
9,1,1.082726523,0.061111111,0.616438356,0.713056656,1,0,0,1.266008122,0,1,0,0,8,
12,1,1.082726523,0.061111111,0.720156556,0.713562117,1,0,0,1.227225611,0,0,1,0,8,
11,0,1.082726523,0.061111111,0.53816047,0.713311297,1,0,0,1.343573144,0,1,0,0,8,
